Bodega;Sub_bodega;Calle;Nº Pqt's
TMT1;SP F1;A01;50
TMT1;SP F1;A02;50
TMT1;SP F1;A03;50
TMT1;SP F1;A04;50
TMT1;SP F1;A05;50
TMT1;SP F1;A06;50
TMT1;SP F1;A07;50
TMT1;SP F1;A08;50
TMT1;SP F1;A09;50
TMT1;SP F1;A10;50
TMT1;SP F1;A11;50
TMT1;SP F1;A12;50
TMT1;SP F1;A13;50
TMT1;SP F1;A14;50
TMT1;SP F1;A15;50
TMT1;SP F1;A16;50
TMT1;SP F1;A17;50
TMT1;SP F1;A18;50
TMT1;SP F1;A19;50
TMT1;SP F1;A20;50
TMT1;SP F1;A21;50
TMT1;SP F3;B1;50
TMT1;SP F3;B2;50
TMT1;SP F3;B3;50
TMT1;SP F3;B4;50
TMT1;SP F3;B5;50
TMT1;SP F3;B6;50
TMT1;SP F3;B7;50
TMT1;SP F3;B8;50
TMT1;SP F3;B9;50
TMT1;SP F3;B10;50
TMT1;SP F3;B11;50
TMT1;SP F3;B12;50
TMT1;SP F3;B13;50
TMT1;SP F3;B14;50
TMT1;SP F3;B15;50
TMT1;SP F3;B16;50
TMT1;SP F3;B17;50
TMT1;SP F3;B18;50
TMT1;SP F3;B19;50
TMT1;SP F3;B20;50
TMT1;SP F3;B21;50
TMT1;TAB F1;C1;200
TMT1;TAB F3;C2;200
TMT1;EXCE F1;D1;200
TMT1;EXCE F3;D2;200
