Centro;Almacen;Material;St.Valorad;UM;St.traslad;UM;Desc.Mat.;Jer.Prod.;Lote;Creacion;UltimaMod;Periodo;Mes;NºPiezas;NºPaquete;Certifica
TMT1;0055;000000000000798374;0,099;M3;0,000;;TRU UL C2 3660x1524x18/1RA/TA44;MAMDFMDF01MF010329;3123837358;05-03-2026;00000000;2026;6;0,99;0,02;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124063695;23-03-2026;00000000;2026;6;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124086850;24-04-2026;00000000;2026;4;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124086906;23-04-2026;00000000;2026;4;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124087032;22-04-2026;00000000;2026;4;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124106347;06-05-2026;00000000;2026;5;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124110384;12-05-2026;00000000;2026;5;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,082;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124139039;08-06-2026;00000000;2026;7;0,98;0,01;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124151155;12-06-2026;00000000;2026;6;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124153876;15-06-2026;00000000;2026;6;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124158031;25-06-2026;00000000;2026;9;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124158041;24-06-2026;00000000;2026;6;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124168727;08-07-2026;00000000;2026;9;0,01;0,00;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124199528;10-08-2026;00000000;2026;8;0,01;0,00;No certificado
TMT1;0055;000000000000798479;1,500;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124213712;27-08-2026;00000000;2026;8;18,00;0,26;No certificado
TMT1;0055;000000000000798479;0,083;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124213864;22-08-2026;00000000;2026;9;1,00;0,01;No certificado
TMT1;0055;000000000000798479;5,751;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124224216;07-09-2026;00000000;2026;9;69,00;1,00;No certificado
TMT1;0055;000000000000798479;5,751;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124224217;07-09-2026;00000000;2026;9;69,00;1,00;No certificado
TMT1;0055;000000000000798479;5,751;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124224237;07-09-2026;00000000;2026;9;69,00;1,00;No certificado
TMT1;0055;000000000000798479;2,667;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124224238;07-09-2026;00000000;2026;9;32,00;0,46;No certificado
TMT1;0055;000000000000798479;3,334;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124224249;05-09-2026;00000000;2026;9;40,00;0,58;No certificado
TMT1;0055;000000000000798479;0,001;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124224292;03-09-2026;00000000;2026;9;0,01;0,00;No certificado
TMT1;0055;000000000000798479;2,917;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124224433;01-09-2026;00000000;2026;9;35,00;0,51;No certificado
TMT1;0055;000000000000798479;1,084;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124228159;07-09-2026;00000000;2026;9;13,01;0,19;No certificado
TMT1;0055;000000000000798479;2,834;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124228207;09-09-2026;00000000;2026;9;34,00;0,49;No certificado
TMT1;0055;000000000000798479;5,751;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124228209;08-09-2026;00000000;2026;9;69,00;1,00;No certificado
TMT1;0055;000000000000798479;5,751;M3;0,000;;TRU UL C2 S/F 4880x1220x14/1RA/TA69;MAMDFMDF01MF010397;3124228210;09-09-2026;00000000;2026;9;69,00;1,00;No certificado
