lote;SKU;descripción;piezas;volumen
3123837358-798374-1;798374;TRU UL C2 3660x1524x18/1RA/TA44;1;0,099
3124063695-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124072737-798479-1;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;1;0,083
3124086850-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124086906-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124087032-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124106347-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124110384-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124139039-798479-1;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;1;0,082
3124151155-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124153876-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124158031-798479-10;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;10;0,834
3124158041-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124168677-798479-69;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;69;5,751
3124168727-798479-1;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;1;0,084
3124191117-798479-3;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;3;0,25
3124199528-798479-0;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;0;0,001
3124213712-798479-18;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;18;1,5
3124213717-798479-69;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;69;5,751
3124213736-798479-8;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;8;0,667
3124213737-798479-69;798479;TRU UL C2 S/F 4880x1220x14/1RA/TA69;69;5,751
